Year,team,matches_played,goals_for,goals_against,wins,draws,losses,average_attendance,goals_per_match,win_percentage,goal_difference,confederation_AFC,confederation_CAF,confederation_CONCACAF,confederation_CONMEBOL,confederation_OFC,confederation_Other,confederation_UEFA,reached_semifinals
1930.0,Argentina,5,18.0,9.0,4,0,1,49640.0,3.6,80.0,9.0,False,False,False,True,False,False,False,1
1930.0,Belgium,2,0.0,4.0,0,0,2,15173.0,0.0,0.0,-4.0,False,False,False,False,False,False,True,0
1930.0,Bolivia,2,0.0,8.0,0,0,2,21886.0,0.0,0.0,-8.0,False,False,False,True,False,False,False,0
1930.0,Brazil,2,5.0,2.0,1,0,1,24762.0,2.5,50.0,3.0,False,False,False,True,False,False,False,0
1930.0,Chile,3,5.0,3.0,2,0,1,17569.0,1.67,66.7,2.0,False,False,False,True,False,False,False,0
1930.0,France,3,4.0,3.0,1,0,2,9951.0,1.33,33.3,1.0,False,False,False,False,False,False,True,0
1930.0,Mexico,3,4.0,13.0,0,0,3,18598.0,1.33,0.0,-9.0,False,False,True,False,False,False,False,0
1930.0,Paraguay,2,1.0,3.0,1,0,1,15153.0,0.5,50.0,-2.0,False,False,False,True,False,False,False,0
1930.0,Peru,2,1.0,4.0,0,0,2,30142.0,0.5,0.0,-3.0,False,False,False,True,False,False,False,0
1930.0,Romania,2,3.0,5.0,1,0,1,36286.0,1.5,50.0,-2.0,False,False,False,False,False,True,False,0
1930.0,United States,3,7.0,6.0,2,0,1,36513.0,2.33,66.7,1.0,False,False,True,False,False,False,False,1
1930.0,Uruguay,4,15.0,3.0,4,0,0,68992.0,3.75,100.0,12.0,False,False,False,True,False,False,False,1
1930.0,Yugoslavia,3,7.0,7.0,2,0,1,40744.0,2.33,66.7,0.0,False,False,False,False,False,True,False,1
1934.0,Argentina,1,2.0,3.0,0,0,1,14000.0,2.0,0.0,-1.0,False,False,False,True,False,False,False,0
1934.0,Austria,4,7.0,7.0,2,0,2,20250.0,1.75,50.0,0.0,False,False,False,False,False,True,False,1
1934.0,Belgium,1,2.0,5.0,0,0,1,8000.0,2.0,0.0,-3.0,False,False,False,False,False,False,True,0
1934.0,Brazil,1,1.0,3.0,0,0,1,21000.0,1.0,0.0,-2.0,False,False,False,True,False,False,False,0
1934.0,Czechoslovakia,4,9.0,6.0,3,0,1,22750.0,2.25,75.0,3.0,False,False,False,False,False,True,False,1
1934.0,Egypt,1,2.0,4.0,0,0,1,9000.0,2.0,0.0,-2.0,False,False,False,False,False,True,False,0
1934.0,France,1,2.0,3.0,0,0,1,16000.0,2.0,0.0,-1.0,False,False,False,False,False,False,True,0
1934.0,Germany,4,11.0,8.0,3,0,1,8250.0,2.75,75.0,3.0,False,False,False,False,False,False,True,1
1934.0,Hungary,2,5.0,4.0,1,0,1,16000.0,2.5,50.0,1.0,False,False,False,False,False,True,False,0
1934.0,Italy,5,12.0,3.0,4,1,0,38600.0,2.4,80.0,9.0,False,False,False,False,False,False,True,1
1934.0,Netherlands,1,2.0,3.0,0,0,1,33000.0,2.0,0.0,-1.0,False,False,False,False,False,False,True,0
1934.0,Romania,1,1.0,2.0,0,0,1,9000.0,1.0,0.0,-1.0,False,False,False,False,False,True,False,0
1934.0,Spain,3,4.0,3.0,1,1,1,33000.0,1.33,33.3,1.0,False,False,False,False,False,False,True,0
1934.0,Sweden,2,4.0,4.0,1,0,1,8500.0,2.0,50.0,0.0,False,False,False,False,False,False,True,0
1934.0,Switzerland,2,5.0,5.0,1,0,1,22500.0,2.5,50.0,0.0,False,False,False,False,False,False,True,0
1934.0,United States,1,1.0,7.0,0,0,1,25000.0,1.0,0.0,-6.0,False,False,True,False,False,False,False,0
1938.0,Belgium,1,1.0,3.0,0,0,1,30454.0,1.0,0.0,-2.0,False,False,False,False,False,False,True,0
1938.0,Brazil,5,14.0,11.0,3,1,1,19723.0,2.8,60.0,3.0,False,False,False,True,False,False,False,1
1938.0,Cuba,3,5.0,12.0,1,1,1,7333.0,1.67,33.3,-7.0,False,False,False,False,False,True,False,0
1938.0,Czechoslovakia,3,5.0,3.0,1,1,1,17054.0,1.67,33.3,2.0,False,False,False,False,False,True,False,0
1938.0,Dutch East Indies,1,0.0,6.0,0,0,1,9000.0,0.0,0.0,-6.0,False,False,False,False,False,True,False,0
1938.0,France,2,4.0,4.0,1,0,1,44454.0,2.0,50.0,0.0,False,False,False,False,False,False,True,0
1938.0,Germany,2,3.0,5.0,0,1,1,23588.0,1.5,0.0,-2.0,False,False,False,False,False,False,True,0
1938.0,Hungary,4,15.0,5.0,3,0,1,22250.0,3.75,75.0,10.0,False,False,False,False,False,True,False,1
1938.0,Italy,4,11.0,5.0,4,0,0,38864.0,2.75,100.0,6.0,False,False,False,False,False,False,True,1
1938.0,Netherlands,1,0.0,3.0,0,0,1,11000.0,0.0,0.0,-3.0,False,False,False,False,False,False,True,0
1938.0,Norway,1,1.0,2.0,0,0,1,19000.0,1.0,0.0,-1.0,False,False,False,False,False,True,False,0
1938.0,Poland,1,5.0,6.0,0,0,1,13452.0,5.0,0.0,-1.0,False,False,False,False,False,False,True,0
1938.0,Romania,2,4.0,5.0,0,1,1,7500.0,2.0,0.0,-1.0,False,False,False,False,False,True,False,0
1938.0,Sweden,3,11.0,9.0,1,0,2,13000.0,3.67,33.3,2.0,False,False,False,False,False,False,True,1
1938.0,Switzerland,3,5.0,5.0,1,1,1,20726.0,1.67,33.3,0.0,False,False,False,False,False,False,True,0
